id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Bounce,Pulse District,hip-hop,energetic,0.84,94,0.73,0.92,0.08
12,Velvet Night,Sable Moon,r&b,romantic,0.55,85,0.68,0.74,0.34
13,Morning Prelude,Clara Voss,classical,peaceful,0.17,52,0.72,0.22,0.98
14,Iron Spiral,Redline,metal,angry,0.97,168,0.24,0.51,0.04
15,Porch Light Lullaby,June Hollow,folk,nostalgic,0.30,74,0.61,0.44,0.94
16,Ultraviolet,Axiom,electronic,euphoric,0.89,128,0.83,0.94,0.03
17,Rain on My Window,Delroy & The Echoes,soul,sad,0.38,68,0.30,0.47,0.66
18,Coastal Drift,Sunroot,reggae,uplifting,0.59,82,0.79,0.81,0.55
19,3AM Diner,Mabel Cross,blues,melancholy,0.43,76,0.27,0.45,0.73
20,Harvest Road,The Copperfields,country,nostalgic,0.62,104,0.70,0.67,0.76
